ID,FIELD,RA,DEC,z_mean,AB115,AB150,AB200,AB277,AB356,AB410,AB444,AB606,AB814,AB105,AB125,AB160,galfit_FIELD,galfit_CATID,galfit_RA,galfit_DEC,galfit_F200W_MAG,galfit_F200W_MAG_ERR,galfit_F200W_RE,galfit_F200W_RE_ERR,galfit_F200W_N,galfit_F200W_N_ERR,galfit_F200W_Q,galfit_F200W_Q_ERR,galfit_F200W_PA,galfit_F200W_PA_ERR,galfit_F200W_FLAG,galfit_F356W_MAG,galfit_F356W_MAG_ERR,galfit_F356W_RE,galfit_F356W_RE_ERR,galfit_F356W_N,galfit_F356W_N_ERR,galfit_F356W_Q,galfit_F356W_Q_ERR,galfit_F356W_PA,galfit_F356W_PA_ERR,galfit_F356W_FLAG,FLUX_115,FLUX_150,FLUX_200,FLUX_277,FLUX_356,FLUX_410,FLUX_444,FLUX_606,FLUX_814,FLUX_105,FLUX_125,FLUX_140,FLUX_160
3,1,215.03400865300188,52.98618915615657,0.2909977479481455,20.09446582714646,19.692364595699864,19.392183983012167,19.56497122192423,19.935978235896513,19.789009169155882,19.895930635648448,21.700042788506842,20.822862613733122,inf,20.08279198416391,19.78539861405035,b'       1',4,215.03400865300188,52.98618915615657,19.4041,0.0006,0.621048,0.017,1.2483,0.0025,0.1706,0.0002,43.958496,0.0103,0,19.9691,0.0005,0.536748,0.014,1.5075,0.0031,0.1727,0.0002,44.168198,0.0107,0,33282.32591942956,48200.79060320652,63551.58797132917,54201.52566439361,38513.12024914106,44095.709250611544,39960.208515326885,7585.476803254452,17015.90117114072,0.0,33642.10843772794,38053.90744725055,44242.59115720449
122,1,214.92936656974334,52.965049205185835,0.3065875609869782,18.989539232457318,18.727831975465065,18.56278351758459,18.775788248082165,19.31068201153537,19.27552189044855,19.341827502998765,20.043496908635426,19.443074166307852,inf,18.951203335094476,18.773300201446176,b'       1',136,214.92936656974334,52.965049205185835,18.429,0.0019,1.160331,0.0865,1.9377,0.004,0.922,1e-04,41.324493,0.077,0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,3,92084.02774249141,117183.70090577536,136422.68504079236,112120.41608120644,68505.77682330222,70760.55715798425,66568.53491317846,34881.98865840313,60641.55560342345,0.0,95393.47420435611,102939.18615110332,112377.64311023845
168,1,214.91839226869283,52.957739986030795,0.3732153714909239,22.379111472531964,22.243713668721398,22.164716083717867,22.29596108158019,22.83117373646384,22.967999432794706,22.929666683559503,23.022389775354938,22.63310806485798,inf,22.413623620906137,22.313669969952645,b'       1',197,214.91839226869283,52.957739986030795,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,3,22.9612,0.0009,0.263154,0.0108,0.2776,0.0018,0.8666,0.0012,24.516998,0.3716,0,4058.4052487770855,4597.423723309914,4944.399644329024,4381.426870485817,2676.2735715658782,2359.3926756267488,2444.1807907331895,2244.109735697446,3211.8612369928783,0.0,3931.4300387251305,4339.42976225109,4310.543300200748
223,1,214.94271786573478,52.97393974981524,0.5714357778193397,20.196198815886763,19.934903314125336,19.699135901790438,19.473675656740607,19.836993446244524,20.09513389218389,20.130210055681225,21.504570439753756,20.704527063723923,inf,20.217552461419494,19.953143059983997,b'       1',256,214.94271786573478,52.97393974981524,19.661,0.001,0.92227197,0.0508,1.2213,0.0031,0.4882,0.0005,-74.8841,0.0613,0,19.7989,0.0009,0.889686,0.0472,1.3918,0.0033,0.4905,0.0005,-75.081,0.0566,0,30305.431612274348,38551.26864203444,47901.11683388168,58956.23445926822,42189.32932058511,33261.85324938796,32204.456764331237,9081.79770996975,18975.322880823136,0.0,29715.22448009977,33663.021221741656,37909.03907617586
228,1,214.926492483516,52.96310778207649,0.7646406199232256,22.871076371390373,22.8217030312477,22.71542371775384,22.570187291991715,22.790308830256187,22.981638704753387,23.092225093022602,23.840285628883297,23.15363502941637,inf,22.922255704510157,22.88230317555299,b'       1',261,214.926492483516,52.96310778207649,22.7273,0.0021,0.527838,0.0584,1.1025,0.0062,0.2517,0.0007,88.901596,0.0567,0,22.8562,0.0014,0.49872002,0.0364,0.9172,0.0047,0.2542,0.0006,88.8336,0.0477,0,2579.701471779953,2699.7203955060445,2977.3542649413043,3403.4947357006886,2778.9227097241574,2329.938823832464,2104.3111811391254,1056.5395246519065,1988.59337502132,0.0,2460.921260120147,2448.4237019511,2553.1641034446675
915,1,214.9424473826352,52.97189133703717,0.37958400325273745,21.987143143424714,21.847659693325898,21.728828762241637,21.788046869425685,22.336756024734015,22.40581540840939,22.43450316769656,22.241743050095227,22.156813682679953,inf,21.974616397322542,21.933208260959702,b'       1',992,214.9424473826352,52.97189133703717,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,3,22.2973,0.0012,0.119477995,0.0058,2.8695,0.0175,0.7032,0.0003,22.458199,0.0009,0,5822.945731859293,6621.191100819008,7387.00673704557,6994.895845977824,4219.855600890769,3959.80533690607,3856.54792720162,4605.775655878242,4980.518148107686,0.0,5890.5173712519245,6005.503629953548,6119.510659535449
1286,1,214.98168431008497,52.998764203395,0.8793393777527955,20.178818517050694,19.78584745432231,19.315988607715898,18.977100005196405,18.910374947171483,18.98388139583971,19.17600551301149,22.453732912547693,21.130678071032218,inf,20.13421341714025,19.80960384603987,b'       1',1390,214.98168431008497,52.998764203395,19.2761,0.0012,0.899307,0.0557,1.4854,0.0033,0.6453,0.0007,75.6243,0.1152,0,18.9628,0.0008,0.80522096,0.0346,1.3408,0.0029,0.6415,0.0006,75.498505,0.0942,0,30794.460022009724,44224.305175273556,68171.7679314752,93145.09670248289,99048.98309497054,92565.13559772809,77552.8557869546,3788.8449663315323,12815.29983248788,0.0,32085.93010736864,39067.37229281729,43267.16717047081
1558,1,215.00553010049916,53.011909466330444,0.4017732447942549,21.675162415880383,21.512632741200754,21.38244862691417,21.51744348745116,21.92933389370716,22.059203294059852,22.050495777244787,22.478582411619108,22.02240829453458,inf,21.68735942145084,21.577947512362375,b'       1',1681,215.00553010049916,53.011909466330444,21.1541,0.0019,0.759465,0.06,1.693,0.0042,0.4507,0.0006,-8.452202,0.0541,0,21.7338,0.0017,0.739428,0.0631,1.7125,0.0043,0.4678,0.0006,-8.6556015,0.0576,0,7761.310060772003,9014.609190101084,10162.967791979796,8974.755068681376,6141.386677168697,5449.023518649492,5492.899955461758,3703.113602519761,5636.852648458099,0.0,7674.608519402752,-0.000773801096119657,8488.305369458158
1676,1,214.93790946267416,52.963959308726864,0.1372126573942037,20.937815379543252,20.84515296301313,20.87578564219397,21.38305715592388,21.781893032448018,21.963648377457222,22.07667001947027,21.454960618984643,21.142008266545176,inf,20.971367398886947,20.919928179919793,b'       1',1805,214.93790946267416,52.963959308726864,20.8797,0.0013,0.457017,0.0331,1.2081,0.0045,0.5429,0.0008,49.497894,0.1044,0,21.7786,0.0008,0.45995697,0.0193,1.2427,0.0025,0.5258,0.0004,49.739,0.0554,0,15306.427831886876,16670.12340404079,16206.369748687026,10157.27328911423,7034.654737527914,5950.324478931091,5362.063986720197,9506.392739110104,12682.26119537506,0.0,14840.65401814531,15238.800807098018,15560.685601728956
1945,1,215.0127317286155,53.01565500798504,0.7933296274711583,22.61093038014047,22.178670361001103,21.686588387925358,21.28398363415634,21.29262634742573,21.474594083830777,21.58390559788407,24.865511544040977,23.582874976757438,inf,22.560295086948354,22.209655891619573,b'       1',2084,215.0127317286155,53.01565500798504,21.7006,0.0011,0.366519,0.0157,0.7327,0.0029,0.264,0.0004,49.841797,0.0314,0,21.3558,0.0007,0.33420298,0.0088,0.6166,0.0021,0.2532,0.0003,50.3506,0.0225,0,3278.1426481792696,4881.259040811708,7680.060563871037,11127.729149855884,11039.501454398107,9336.032749140311,8441.852522514127,410.9560537567076,1339.2140880568898,0.0,3434.6458664829506,3907.9829013613708,4743.92313216475
