dSlitId,ObjectId,DesId,SlitName,slitRA,slitDec,slitTyp,slitLen,slitLPA,slitWid,slitWPA,OBJECT,RA_OBJ,DEC_OBJ
0,4,1,000                 ,215.55944854,-0.48530318,A,4.0,30.0,4.0,120.0,n5584_cf153,215.55944583,-0.48530306
1,5,1,001                 ,215.4923152,-0.48802791,A,4.0,30.0,4.0,120.0,n5584_cf166,215.4923125,-0.48802778
2,6,1,002                 ,215.64925688,-0.30300207,A,4.0,30.0,4.0,120.0,n5584_cf167,215.64925417,-0.30300194
3,7,1,003                 ,215.65943604,-0.32505041,A,4.0,30.0,4.0,120.0,n5584_cf168,215.65943333,-0.32505028
4,8,1,004                 ,215.60020271,-0.31665651,A,4.0,30.0,4.0,120.0,n5584_cf169,215.6002,-0.31665639
5,9,1,005                 ,215.50334021,-0.47692291,A,4.0,30.0,4.0,120.0,n5584_cf170,215.5033375,-0.47692278
6,11,1,006                 ,215.57745271,-0.46598568,A,4.0,30.0,4.0,120.0,n5584_cf172,215.57745,-0.46598556
7,12,1,007                 ,215.56572355,-0.45230902,A,4.0,30.0,4.0,120.0,n5584_cf173,215.56572083,-0.45230889
8,14,1,008                 ,215.51743188,-0.52138679,A,4.0,30.0,4.0,120.0,n5584_cf175,215.51742917,-0.52138667
9,15,1,009                 ,215.5106777,-0.50891041,A,4.0,30.0,4.0,120.0,n5584_cf267,215.510675,-0.50891028
10,16,1,010                 ,215.53483187,-0.51789707,A,4.0,30.0,4.0,120.0,n5584_cf311,215.53482917,-0.51789694
11,18,1,011                 ,215.59236788,-0.38543981,P,4.009,350.0,1.0,120.0,n5584_g004,215.59235417,-0.38537722
12,20,1,012                 ,215.59123774,-0.40814796,P,7.486,350.0,1.0,120.0,n5584_g018,215.59115,-0.40766556
13,21,1,013                 ,215.59441836,-0.34787585,P,14.35,350.0,1.0,120.0,n5584_g023,215.59446667,-0.348165
14,22,1,014                 ,215.60237042,-0.34651514,P,5.79,350.0,1.0,120.0,n5584_g025,215.60238333,-0.34660361
15,24,1,015                 ,215.59161018,-0.41251435,P,5.839,350.0,1.0,120.0,n5584_g042,215.59169583,-0.41301528
16,25,1,016                 ,215.62119676,-0.33340519,P,2.796,350.0,1.0,120.0,n5584_g044,215.62122083,-0.33355694
17,27,1,017                 ,215.59309958,-0.33932325,P,2.558,350.0,1.0,120.0,n5584_g053,215.59309167,-0.33929361
18,29,1,018                 ,215.6109069,-0.3254938,P,5.34,350.0,1.0,120.0,n5584_g055,215.610875,-0.32532806
19,30,1,019                 ,215.60064271,-0.35426558,P,7.516,350.0,1.0,120.0,n5584_g078,215.600725,-0.3547475
20,32,1,020                 ,215.61633049,-0.35139104,P,8.074,350.0,1.0,120.0,n5584_g081,215.61647917,-0.35224944
21,35,1,021                 ,215.60779643,-0.36826954,P,4.498,350.0,1.0,120.0,n5584_g086,215.6078,-0.368305
22,38,1,022                 ,215.61065025,-0.37277259,P,8.224,350.0,1.0,120.0,n5584_g095,215.61065,-0.37278639
23,39,1,023                 ,215.61132243,-0.40118273,P,3.862,350.0,1.0,120.0,n5584_g096,215.611375,-0.40149611
24,41,1,024                 ,215.57922246,-0.40000792,P,1.868,350.0,1.0,120.0,n5584_g114,215.5792125,-0.39996667
25,42,1,025                 ,215.58989769,-0.35210465,P,3.968,350.0,1.0,120.0,n5584_g125,215.58985833,-0.35189667
26,43,1,026                 ,215.59610032,-0.4089809,P,3.121,350.0,1.0,120.0,n5584_g127,215.5961375,-0.40920694
27,45,1,027                 ,215.59128401,-0.35177032,P,4.506,350.0,1.0,120.0,n5584_g132,215.59133333,-0.35206528
28,46,1,028                 ,215.60524119,-0.33167275,P,2.994,350.0,1.0,120.0,n5584_g133,215.60521667,-0.33154889
29,49,1,029                 ,215.60406081,-0.33279836,P,4.565,350.0,1.0,120.0,n5584_g137,215.60404583,-0.33272861
30,51,1,030                 ,215.61967235,-0.39453647,P,7.795,350.0,1.0,120.0,n5584_g139,215.6196,-0.39414139
31,52,1,031                 ,215.59237789,-0.35112634,P,5.101,350.0,1.0,120.0,n5584_g141,215.5923375,-0.3509125
32,54,1,032                 ,215.6079664,-0.38615329,P,4.855,350.0,1.0,120.0,n5584_g144,215.6079625,-0.38614639
33,57,1,033                 ,215.6075065,-0.33226549,P,2.124,350.0,1.0,120.0,n5584_g152,215.60750833,-0.33229111
34,58,1,034                 ,215.59432578,-0.39321083,P,4.385,350.0,1.0,120.0,n5584_g163,215.59433333,-0.39326889
35,59,1,035                 ,215.60890224,-0.33213111,P,4.794,350.0,1.0,120.0,n5584_g176,215.6089625,-0.33248806
36,60,1,036                 ,215.57128965,-0.38220699,P,4.318,350.0,1.0,120.0,n5584_g177,215.5712875,-0.38221
37,63,1,037                 ,215.6268333,-0.32829994,P,4.696,350.0,1.0,120.0,n5584_g183,215.62688333,-0.32859889
38,64,1,038                 ,215.6251349,-0.32837317,P,3.153,350.0,1.0,120.0,n5584_g184,215.62511667,-0.328285
39,69,1,039                 ,215.61245672,-0.34205453,P,3.843,350.0,1.0,120.0,n5584_g189,215.61245417,-0.34205528
40,72,1,040                 ,215.61367856,-0.3448275,P,4.04,350.0,1.0,120.0,n5584_g192,215.61367917,-0.34484611
41,73,1,041                 ,215.61466945,-0.34655982,P,4.598,350.0,1.0,120.0,n5584_g193,215.61465,-0.34646472
42,78,1,042                 ,215.5920098,-0.40317836,P,5.644,350.0,1.0,120.0,n5584_g198,215.59200833,-0.40318528
43,79,1,043                 ,215.58909661,-0.40288746,P,4.822,350.0,1.0,120.0,n5584_g200,215.5891125,-0.40299278
44,82,1,044                 ,215.59281658,-0.39346932,P,3.998,350.0,1.0,120.0,n5584_g205,215.59280833,-0.39343778
45,83,1,045                 ,215.6237136,-0.34754466,P,3.788,350.0,1.0,120.0,n5584_g209,215.6237125,-0.34755361
46,85,1,046                 ,215.58622557,-0.38285435,P,2.934,350.0,1.0,120.0,n5584_g211,215.586175,-0.38258278
47,87,1,047                 ,215.59662752,-0.32362675,P,5.447,350.0,1.0,120.0,n5584_g213,215.5965875,-0.323415
48,88,1,048                 ,215.60527378,-0.32720769,P,5.618,350.0,1.0,120.0,n5584_g214,215.6053125,-0.3274425
