#     ee        rad       apc      skyin    skyout
    0.1000    0.4080   10.0282    7.4800    9.2510
    0.2000    0.6380    5.0172    7.4800    9.2510
    0.3000    0.9920    3.3519    7.4800    9.2510
    0.4000    1.5030    2.5241    7.4800    9.2510
    0.5000    1.9250    2.0253    7.4800    9.2510
    0.6000    2.5490    1.6977    7.4800    9.2510
    0.7000    4.1620    1.4908    7.4800    9.2510
    0.8000    7.4800    1.4173    7.4800    9.2510
    0.8500    9.2510    1.4173    7.4800    9.2510
    0.9000   12.7800    1.6016    7.4800    9.2510
